Season,Episode,Theme,Ep_Theme_Count,Total_Eps,%,Theme_Raw_Count
1,1,Cakes,13,14,92.9,14
1,2,Biscuits,10,14,71.4,13
1,3,Bread,12,14,85.7,14
1,4,Puddings,1,14,7.1,3
1,5,Pastry,4,14,28.6,12
1,6,Unique/Others,1,14,7.1,1
2,1,Cakes,13,14,92.9,14
2,2,Tarts,1,14,7.1,2
2,3,Bread,12,14,85.7,14
2,4,Biscuits,1,14,7.1,13
2,5,Pies,2,14,14.3,2
2,6,Desserts (Quarterfinals),1,14,7.1,2
2,7,Pâtisserie,1,14,7.1,7
2,8,Final,1,14,7.1,12
3,1,Cakes,13,14,92.9,14
3,2,Bread,2,14,14.3,14
3,3,Tarts,1,14,7.1,2
3,4,Desserts,5,14,35.7,10
3,5,Pies,2,14,14.3,2
3,6,Puddings,1,14,7.1,3
3,7,Sweet Dough,1,14,7.1,2
3,8,Biscuits,1,14,7.1,13
3,9,Pâtisserie (Semifinal),2,14,14.3,2
3,10,Final,11,14,78.6,12
4,1,Cakes,13,14,92.9,14
4,2,Bread,2,14,14.3,14
4,3,Desserts,1,14,7.1,10
4,4,Pies and Tarts,1,14,7.1,2
4,5,Unique/Others,1,14,7.1,1
4,6,Sweet Dough,1,14,7.1,2
4,7,Pastry,2,14,14.3,12
4,8,Unique/Others,1,14,7.1,1
4,9,Unique/Others,1,14,7.1,1
4,10,Final,11,14,78.6,12
5,1,Cakes,13,14,92.9,14
5,2,Biscuits,10,14,71.4,13
5,3,Bread,12,14,85.7,14
5,4,Desserts,5,14,35.7,10
5,5,Pies and Tarts,1,14,7.1,2
5,6,Unique/Others,1,14,7.1,1
5,7,Pastry,2,14,14.3,12
5,8,Unique/Others,1,14,7.1,1
5,9,Pâtisserie,6,14,42.9,7
5,10,Final,11,14,78.6,12
6,1,Cakes,13,14,92.9,14
6,2,Biscuits,10,14,71.4,13
6,3,Bread,12,14,85.7,14
6,4,Desserts,5,14,35.7,10
6,5,Unique/Others,1,14,7.1,1
6,6,Pastry,4,14,28.6,12
6,7,Unique/Others,1,14,7.1,1
6,8,Unique/Others,1,14,7.1,1
6,9,Chocolate,1,14,7.1,3
6,10,Final,11,14,78.6,12
7,1,Cakes,13,14,92.9,14
7,2,Biscuits,10,14,71.4,13
7,3,Bread,12,14,85.7,14
7,4,Unique/Others,1,14,7.1,1
7,5,Pastry,4,14,28.6,12
7,6,Botanical,2,14,14.3,2
7,7,Desserts,2,14,14.3,10
7,8,Unique/Others,1,14,7.1,1
7,9,Pâtisserie,6,14,42.9,7
7,10,Unique/Others,1,14,7.1,1
8,1,Cakes,13,14,92.9,14
8,2,Biscuits,10,14,71.4,13
8,3,Bread,12,14,85.7,14
8,4,Caramel,1,14,7.1,2
8,5,Puddings,1,14,7.1,3
8,6,Pastry,4,14,28.6,12
8,7,Unique/Others,1,14,7.1,1
8,8,Unique/Others,1,14,7.1,1
8,9,Pâtisserie,6,14,42.9,7
8,10,Final,11,14,78.6,12
9,1,Biscuits,1,14,7.1,13
9,2,Cakes,1,14,7.1,14
9,3,Bread,12,14,85.7,14
9,4,Desserts,5,14,35.7,10
9,5,Unique/Others,1,14,7.1,1
9,6,Pastry,4,14,28.6,12
9,7,Unique/Others,1,14,7.1,1
9,8,Unique/Others,1,14,7.1,1
9,9,Pâtisserie,6,14,42.9,7
9,10,Final,11,14,78.6,12
10,1,Cakes,13,14,92.9,14
10,2,Biscuits,10,14,71.4,13
10,3,Bread,12,14,85.7,14
10,4,Unique/Others,1,14,7.1,1
10,5,Unique/Others,1,14,7.1,1
10,6,Desserts,1,14,7.1,10
10,7,Unique/Others,1,14,7.1,1
10,8,Pastry,2,14,14.3,12
10,9,Pâtisserie (Semifinal),2,14,14.3,2
10,10,Final,11,14,78.6,12
11,1,Cakes,13,14,92.9,14
11,2,Biscuits,10,14,71.4,13
11,3,Bread,12,14,85.7,14
11,4,Chocolate,2,14,14.3,3
11,5,Pastry,4,14,28.6,12
11,6,Unique/Others,1,14,7.1,1
11,7,Unique/Others,1,14,7.1,1
11,8,Desserts (Quarterfinals),1,14,7.1,2
11,9,Unique/Others,1,14,7.1,1
11,10,Final,11,14,78.6,12
12,1,Cakes,13,14,92.9,14
12,2,Biscuits,10,14,71.4,13
12,3,Bread,12,14,85.7,14
12,4,Desserts,5,14,35.7,10
12,5,Unique/Others,1,14,7.1,1
12,6,Pastry,4,14,28.6,12
12,7,Caramel,1,14,7.1,2
12,8,Unique/Others,1,14,7.1,1
12,9,Pâtisserie,6,14,42.9,7
12,10,Final,11,14,78.6,12
13,1,Cakes,13,14,92.9,14
13,2,Biscuits,10,14,71.4,13
13,3,Bread,12,14,85.7,14
13,4,Unique/Others,1,14,7.1,1
13,5,Desserts,1,14,7.1,10
13,6,Unique/Others,1,14,7.1,1
13,7,Unique/Others,1,14,7.1,1
13,8,Pastry,2,14,14.3,12
13,9,Pâtisserie,6,14,42.9,7
13,10,Final,11,14,78.6,12
14,1,Cakes,13,14,92.9,14
14,2,Biscuits,10,14,71.4,13
14,3,Bread,12,14,85.7,14
14,4,Chocolate,2,14,14.3,3
14,5,Pastry,4,14,28.6,12
14,6,Botanical,2,14,14.3,2
14,7,Desserts,2,14,14.3,10
14,8,Unique/Others,1,14,7.1,1
14,9,Unique/Others,1,14,7.1,1
14,10,Final,11,14,78.6,12
